X;Y;Z;Dev;
0;0;5.585355821787459;-8.487649917602539;
0.218782239604654;0;5.602908390791413;-8.500919342041016;
0.2510836257708901;0;5.6035266080642145;-8.500904083251953;
0.364676605705844;0;5.607412738239512;-8.502567291259766;
0.7655739906105794;0;5.621127841281691;-8.508426666259766;
0.8212381078651655;0;5.62316486415068;-8.50937271118164;
0.8900804163309596;0;5.625684141624486;-8.510555267333984;
0.9880518265366878;0;5.629269395697293;-8.512557983398438;
1.0876670119253833;0;5.632925000338275;-8.51462173461914;
1.439555984658206;0;5.645394636984614;-8.521461486816406;
1.7611416886876152;0;5.656790438474957;-8.527715682983398;
1.8991661178147772;0;5.6627566594085215;-8.531475067138672;
1.9550661081150722;0;5.6651729830580715;-8.53300666809082;
2.0356659229965084;0;5.66865697720192;-8.535455703735352;
2.503160703249018;0;5.688890851368335;-8.549745559692383;
2.819050474243887;0;5.7025630337043935;-8.559404373168945;
2.9743531608166403;0;5.707097118734781;-8.56196403503418;
3.0184410893141136;0;5.708384272363817;-8.562700271606445;
3.032059983309198;0;5.708781877999343;-8.562955856323242;
3.083242023448802;0;5.710083344197983;-8.563758850097656;
3.0925257159856967;0;5.710317919373836;-8.563901901245117;
3.5654134125544417;0;5.722349114516055;-8.571331024169922;
3.631492607609856;0;5.724030299491517;-8.572370529174805;
3.6528638526949098;0;5.724701456044443;-8.572834014892578;
3.6729179364879436;0;5.725151536503688;-8.573087692260742;
3.7514021739325907;0;5.72680059616107;-8.573974609375;
4.047285990656421;0;5.729610345366462;-8.573905944824219;
4.080552341962437;0;5.729926246740127;-8.573904037475586;
4.130790296484765;0;5.730403312550493;-8.574018478393555;
4.471409703187866;0;5.73368289864294;-8.574895858764648;
4.6207482750872435;0;5.736617972213821;-8.576776504516602;
4.626308842707373;0;5.7366724315250375;-8.576791763305664;
5.117717704249617;0;5.741485211434066;-8.57813835144043;
5.141172222211022;0;5.741714921237154;-8.578208923339844;
5.17831948753295;0;5.742078735621078;-8.578392028808594;
5.4419979265455805;0;5.744683126504356;-8.57975959777832;
5.609094950534476;0;5.7483574627655685;-8.582651138305664;
5.685630210248534;0;5.751229752349146;-8.585165023803711;
5.857382848718072;0;5.757675452230103;-8.59080696105957;
6.010174449277436;0;5.759730918641139;-8.592145919799805;
6.185497596391576;0;5.762375302779804;-8.593969345092773;
6.200183254234879;0;5.76259680530988;-8.594127655029297;
6.225836981302801;0;5.762983738296612;-8.594442367553711;
6.5109907672239045;0;5.767282724635663;-8.597993850708008;
6.743372421380588;0;5.775485576651186;-8.605588912963867;
6.9776289007795524;0;5.783754608219795;-8.613243103027344;
7.210832680849317;0;5.78872733126741;-8.617607116699219;
7.25783882968802;0;5.790476847147672;-8.61923599243164;
7.266046134654895;0;5.79078231378828;-8.619531631469727;
7.273348863662861;0;5.791054113131224;-8.619796752929688;
7.608784049510232;0;5.803518297820858;-8.631973266601562;
7.79959573335968;0;5.810439295582215;-8.638731002807617;
7.982807966235762;0;5.817084650981883;-8.645219802856445;
8.313801985477314;0;5.82999539369546;-8.65785026550293;
8.32085998722457;0;5.8302706978983565;-8.658126831054688;
8.32614348224617;0;5.830476839207961;-8.658336639404297;
8.485228204550182;0;5.8366837028199825;-8.66463851928711;
8.762461082403558;0;5.844938815984392;-8.67306137084961;
8.85433559421197;0;5.847555259293089;-8.675731658935547;
9.193579733633952;0;5.85721640514447;-8.685598373413086;
9.368374032555835;0;5.862183422904536;-8.690671920776367;
9.368357144312073;0;5.862182942710322;-8.690671920776367;
9.368377136232255;0;5.862183511153349;-8.690671920776367;
9.383700575817247;0;5.862619212294052;-8.691133499145508;
9.571776570337596;0;5.867966897120084;-8.69681167602539;
9.907564359763626;0;5.8794424130719865;-8.70887565612793;
10.041951511357807;0;5.884035081270213;-8.713705062866211;
10.415893571611225;0;5.88966177479449;-8.719987869262695;
10.421208323941505;0;5.8897423865689955;-8.72007942199707;
10.438675675852496;0;5.890007323511668;-8.720388412475586;
10.479228613966919;0;5.890622412249513;-8.721109390258789;
10.959209300027025;0;5.894537256529477;-8.726274490356445;
11.111612932193237;0;5.895780299228818;-8.727914810180664;
11.46342013283578;0;5.909620975441669;-8.742671966552734;
11.47256229604134;0;5.909981524542461;-8.74305534362793;
11.491027514215558;0;5.910709756762665;-8.743843078613281;
11.529622275151748;0;5.912231858921416;-8.745485305786133;
12.009308193339423;0;5.922651663640622;-8.757415771484375;
12.467137480460224;0;5.932596695557663;-8.768804550170898;
12.510954261356842;0;5.932885820653951;-8.769231796264648;
12.522333485045358;0;5.932962665203111;-8.769344329833984;
12.540753154102516;0;5.933087054282992;-8.76953125;
12.543655698392978;0;5.933106655330789;-8.769559860229492;
13.057616125025621;0;5.8936461574832935;-8.731842041015625;
13.156174957459355;0;5.886079075673933;-8.724609375;
13.554479586482488;0;5.859728387742848;-8.69961166381836;
13.55849558502121;0;5.8597391675194785;-8.699634552001953;
13.570167356282226;0;5.859769016550758;-8.699705123901367;
